pathogen,disease,symptoms
Lysinibacillus sphaericus,"Pneumonia, septicaemia, corneal infections, meningitis, food poisoning, eye infection, lung infection",
Lyssavirus Ozernoe,,
Machupo mammarenavirus,Bolivian hemorrhagic fever,
Machupo virus,Machupo hemorrhagic fever,
Macrorhabdus ornithogaster,,
Madrid orthobunyavirus,,
Madurella mycetomatis,,
Magnusiomyces capitatus,,
Malassezia caprae,,
Malassezia cuniculi,,
Malassezia dermatis,,
Malassezia equina,,
Malassezia furfur,,
Malassezia globosa,,
Malassezia japonica,,
Malassezia nana,,
Malassezia obtusa,,
Malassezia pachydermatis,,
Malassezia restricta,,
Malassezia slooffiae,,
Malassezia sympodialis,,
Malassezia yamatoensis,,
Malbranchea pulchella,,
Mamastrovirus 1,,
Mammalian rubulavirus 5,,
Mannheimia haemolytica,"Wound infection, septicaemia, abscesses, pneumonia, endocarditis, meningitis",
Manzanilla orthobunyavirus,,
Maporal orthohantavirus,,
Mapuera rubulavirus,,
Maraba vesiculovirus,,
Marburg marburgvirus,,
Marburgvirus,Marburg virus disease;Marburg hemorrhagic fever,"gum bleeding,  hypotension,  malaise,  subconjunctival bleeding,  abdominal tenderness,  fever,  tremor,  vomiting,  myalgia,  petechiae,  anorexia,  weakness,  diarrhea,  dysarthria,  epistaxis,  chills,  bronchopulmonary bleeding,  intestinal hemorrhage,  genitourinary hemorrhage,  low backache,  joint pain,  mouth bleeding,  mild conjunctivitis,  fatigue,  dizziness,  nasal bleeding,  abdominal pain,  headache,  hemodynamic instability,  prostration, gum bleeding,"
Marituba orthobunyavirus,,
Massilia timonae,"Bacteraemia, wound infection",
Mastomys,Lassa fever,
Mayaro virus,,
Meaban virus,,
Measles morbillivirus,,
Measles virus,subacute sclerosing panencephalitis,
Medicopsis romeroi,,
Megasphaera elsdenii,"Endocarditis, abscess",
Megasphaera micronuciformis,"Endocarditis, abscess",
Melao virus,undocumented,
Menangle rubulavirus,,
Mercadeo virus,,
Mesorhizobium amorphae,Pneumonia,
Metarhizium anisopliae,,
Metarhizium granulomatis,,
Metarhizium marquandii,,
Metarhizium viride,,
Methylobacterium extorquens,"Bacteraemia, CAPD peritonitis, UTI, septic arthritis",
Methylobacterium mesophilicum,"Bacteraemia, CAPD peritonitis, UTI, septic arthritis",
Metschnikowia pulcherrima,,
Meyerozyma guilliermondii,,
Microascus cinereus,,
Microascus cirrosus,,
Microascus trigonosporus,,
Microbacterium arborescens,"Endophthalmitis, UTI, endocarditis, soft tissue infection, hypersensitivity pneumonitis, meningitis, CAPD peritonitis, bacteraemia",
Microbacterium imperiale,"Endophthalmitis, UTI, endocarditis, soft tissue infection, hypersensitivity pneumonitis, meningitis, CAPD peritonitis, bacteraemia",
Microbacterium liquefaciens,"Endophthalmitis, UTI, endocarditis, soft tissue infection, hypersensitivity pneumonitis, meningitis, CAPD peritonitis, bacteraemia",
Microbacterium oxydans,"Endophthalmitis, UTI, endocarditis, soft tissue infection, hypersensitivity pneumonitis, meningitis, CAPD peritonitis, bacteraemia",
Microbacterium paraoxydans,"Endophthalmitis, UTI, endocarditis, soft tissue infection, hypersensitivity pneumonitis, meningitis, CAPD peritonitis, bacteraemia",
Microbacterium resistens,"Endophthalmitis, UTI, endocarditis, soft tissue infection, hypersensitivity pneumonitis, meningitis, CAPD peritonitis, bacteraemia",
Microbacterium trichothecenolyticum,"Endophthalmitis, UTI, endocarditis, soft tissue infection, hypersensitivity pneumonitis, meningitis, CAPD peritonitis, bacteraemia",
Micrococcus luteus,"Bacteraemia, endocarditis, septic arthritis",
Micrococcus lylae,"Bacteraemia, endocarditis, septic arthritis",
Microsphaeropsis olivacea,,
Microsporidia,microsporidiosis,
Microsporum audouinii,,
Microsporum canis,,
Microsporum ferrugineum,,
Middle East respiratory syndrome-related coronavirus,,
Millerozyma farinosa,,
Mitsuokella multacida,,
Mobala mammarenavirus,,
Mobiluncus curtisii subsp. curtisii,"Endometritis, chorioamnionitis",
Mobiluncus curtisii subsp. holmesii,"Endometritis, chorioamnionitis",
Mobiluncus mulieris,"Endometritis, chorioamnionitis",
Modoc virus,,
Moellerella wisconsensis,Diarrhoea,
Mogibacterium diversum,Endodontic infection,
Mogibacterium neglectum,Endodontic infection,
Mogibacterium timidum,"Wounds, abscesses, septicaemia, periodontitis",
Mojiang henipavirus,,
Mokola lyssavirus,,
Mollusca,shellfish allergy;mollusc allergy,
Molluscum contagiosum virus,molluscum contagiosum,
Monascus ruber,,
Moniliella suaveolens,,
Monkeypox virus,,
Montana myotis leukoencephalitis virus,,
Montano orthohantavirus,,
Mopeia mammarenavirus,,
Moraxella atlantae,"Conjunctivitis, wound infection, endocarditis, abscesses, osteomyelitis, respiratory infections, endocarditis, bacteraemia",
Moraxella catarrhalis,"Conjunctivitis, wound infection, endocarditis, abscesses, osteomyelitis, respiratory infections, endocarditis, bacteraemia",
Moraxella lacunata,"Conjunctivitis, wound infection, endocarditis, abscesses, osteomyelitis, respiratory infections, endocarditis, bacteraemia",
Moraxella nonliquefaciens,"Conjunctivitis, wound infection, endocarditis, abscesses, osteomyelitis, respiratory infections, endocarditis, bacteraemia",
Moraxella osloensis,"Conjunctivitis, wound infection, endocarditis, abscesses, osteomyelitis, respiratory infections, endocarditis, bacteraemia",
Morganella morganii subsp. morganii,"Bacteraemia, UTI, wound infection",
Morganella morganii subsp. sibonii,"Bacteraemia, UTI, wound infection",
Morogoro mammarenavirus,,
Mortierella polycephala,,
Mortierella wolfii,,
Moryella indoligenes,,
Mossman virus,,
Mucor amphibiorum,,
Mucor circinelloides,,
Mucor hiemalis,,
Mucor indicus,,
Mucor irregularis,,
Mucor racemosus,,
Mucor ramosissimus,,
Mumps rubulavirus,,
Mumps virus,mumps,
Mupapillomavirus 1,,
Murray Valley encephalitis virus,Murray Valley encephalitis,
Mus musculus,lymphocytic choriomeningitis,
Mycobacterium abscessus,,
Mycobacterium abscessus subsp. bolletii,,
Mycobacterium abscessus subsp. massiliense,,
Mycobacterium africanum,,
Mycobacterium alvei,,
Mycobacterium arupense,,
Mycobacterium asiaticum,,
Mycobacterium aubagnense,,
Mycobacterium aurum,,
Mycobacterium avium,,
Mycobacterium avium complex,Mycobacterium avium complex disease,
Mycobacterium barrassiae,,
Mycobacterium boenickei,,
Mycobacterium bohemicum,,
Mycobacterium bovis,,
Mycobacterium branderi,,
Mycobacterium brisbanense,,
Mycobacterium brumae,,
Mycobacterium canariasense,,
Mycobacterium celatum,,
Mycobacterium chelonae,,
Mycobacterium chimaera,,
Mycobacterium chubuense,,
Mycobacterium colombiense,,
Mycobacterium conceptionense,,
Mycobacterium confluentis,,
Mycobacterium conspicuum,,
Mycobacterium cookii,,
Mycobacterium cosmeticum,,
Mycobacterium doricum,,
Mycobacterium elephantis,,
Mycobacterium flavescens,,
Mycobacterium florentinum,,
Mycobacterium fortuitum,,
Mycobacterium gadium,,
Mycobacterium gastri,,
Mycobacterium genavense,,
Mycobacterium goodii,,
Mycobacterium gordonae,,
Mycobacterium haemophilum,,
Mycobacterium hassiacum,,
Mycobacterium heckeshornense,,
Mycobacterium heidelbergense,,
Mycobacterium hodleri,,
Mycobacterium holsaticum,,
Mycobacterium houstonense,,
Mycobacterium immunogenum,,
Mycobacterium interjectum,,
Mycobacterium intracellulare,,
Mycobacterium jacuzzii,,
Mycobacterium kansasii,,
Mycobacterium kubicae,,
Mycobacterium kumamotonense,,
Mycobacterium lacus,,
Mycobacterium lentiflavum,,
Mycobacterium leprae,leprosy,
Mycobacterium mageritense,,
Mycobacterium malmoense,,
Mycobacterium marinum,,
Mycobacterium microti,,
Mycobacterium monacense,,
Mycobacterium mucogenicum,,
Mycobacterium nebraskense,,
Mycobacterium neoaurum,,
Mycobacterium neworleansense,,
Mycobacterium nonchromogenicum,,
Mycobacterium novocastrense,,
Mycobacterium palustre,,
Mycobacterium parascrofulaceum,,
Mycobacterium parmense,,
Mycobacterium peregrinum,,
Mycobacterium phlei,,
Mycobacterium phocaicum,,
Mycobacterium porcinum,,
Mycobacterium saskatchewanense,,
Mycobacterium scrofulaceum,,
Mycobacterium seoulense,,
Mycobacterium septicum,,
Mycobacterium shimoidei,,
Mycobacterium simiae,,
Mycobacterium smegmatis,,
Mycobacterium szulgai,,
Mycobacterium terrae,,
Mycobacterium thermoresistibile,,
Mycobacterium triplex,,
Mycobacterium triviale,,
Mycobacterium tuberculosis,Tuberculosis,"abdominal pain,  cytopenia,  enlargement of lymph nodes,  fatigue,  fever,  hepatosplenomegaly,  weight loss,  chronic cough,  acute dyspnea,  heart failure,  rapid respiration,  acute weight loss,  anorexia,  listlessness,  moderate anemia,  pale mucous membrane,  rales,  abnormal chest sound,  brain cyst,  epileptic seizure,  abscess,  abnormal behavior,  abnormal involuntary movement,  acute mental dysfunction,  convulsion,  loss of consciousness,  memory impairment,  pareses, abdominal pain,"
Mycobacterium tuberculosis 210,Tuberculosis,
Mycobacterium tuberculosis C,Tuberculosis,
Mycobacterium tuberculosis CDC1551,Tuberculosis,
Mycobacterium tuberculosis F11,Tuberculosis,
Mycobacterium tuberculosis H37Rv,Tuberculosis,
Mycobacterium tuberculosis str. Haarlem,Tuberculosis,
Mycobacterium tusciae,,
Mycobacterium ulcerans,Buruli ulcer disease,
Mycobacterium vaccae,,
Mycobacterium wolinskyi,,
Mycobacterium xenopi,,
Mycocentrospora acerina,,
Mycoleptodiscus indicus,,
Mycoplasma amphoriforme,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
Mycoplasma buccale,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
Mycoplasma faucium,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
Mycoplasma fermentans,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
Mycoplasma genitalium,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
Mycoplasma hominis,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
Mycoplasma lipophilum,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
Mycoplasma orale,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
Mycoplasma penetrans,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
Mycoplasma phocicerebrale,Seal finger,
Mycoplasma pirum,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
Mycoplasma pneumoniae,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
Mycoplasma primatum,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
Mycoplasma salivarium,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
Mycoplasma spermatophilum,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
Myodes glareolus,nephropathia epidemica;hantavirus pulmonary syndrome,
Myriodontium keratinophilum,,
Myrmecridium schulzeri,,
Myroides odoratimimus,"UTI, wound infection",
Myroides odoratus,"UTI, wound infection",
Myxotrichum deflexum,,
Naganishia albida,,
Nannizzia corniculata,,
Nannizzia fulva,,
Nannizzia gypsea,,
Nannizzia incurvata,,
Nannizzia nana,,
Nannizzia persicolor,,
Nannizzia praecox,,
Nannizziopsis guarroi,,
Nannizziopsis vriesii,,
Nariva virus,,
Nectria haematococca,,
Neisseria animaloris,"Wound infections, abscesses, endocarditis, meningitis, bacteraemia",
Neisseria bacilliformis,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
Neisseria canis,"Wound infections, abscesses, endocarditis, meningitis, bacteraemia",
Neisseria cinerea,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
Neisseria elongata subsp. elongata,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
Neisseria elongata subsp. glycolytica,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
Neisseria elongata subsp. nitroreducens,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
Neisseria flavescens,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
Neisseria gonorrhoeae,gonorrhea;Gonorrhoea; septicaemia; ophthalmia neonatorum,
Neisseria lactamica,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
Neisseria meningitidis,"Septicaemia, meningitis, conjunctivitis, genital infection, epiglottitis",
Neisseria mucosa,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
Neisseria polysaccharea,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
Neisseria sicca,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
Neisseria subflava,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
Neisseria weaveri,"Wound infections, abscesses, endocarditis, meningitis, bacteraemia",
Neisseria zoodegmatis,"Wound infections, abscesses, endocarditis, meningitis, bacteraemia",
Neocucurbitaria unguis-hominis,,
Neodeightonia subglobosa,,
Neorickettsia sennetsu,sennetsu fever;Sennetsu fever,
Neoscytalidium dimidiatum,,
Neotestudina rosatii,,
Neotoma albigula,Whitewater Arroyo hemorrhagic fever,
Neurospora sitophila,,
New York virus,,
Newcastle disease virus,Newcastle disease,
Nigrospora sphaerica,,
Nipah henipavirus,,
Nipah virus,Nipah viral infection,
Nocardia abscessus,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia africana,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia anaemiae,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia aobensis,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia araoensis,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia arthritidis,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia asiatica,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia asteroides,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia beijingensis,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia brasiliensis,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia brevicatena,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia carnea,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia concava,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia cyriacigeorgica,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia elegans,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia exalbida,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia farcinica,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia higoensis,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia inohanensis,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia kruczakiae,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia mexicana,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia niigatensis,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia ninae,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia nova,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia otitidiscaviarum,"Nocardiosis (including bacteraemia, pulmonary and soft tissue infections)",
Nocardia paucivorans,,
Nocardia pneumoniae,,
Nocardia pseudobrasiliensis,,
Nocardia puris,,
Nocardia sienata,,
Nocardia takedensis,,
Nocardia testacea,,
Nocardia thailandica,,
Nocardia transvalensis,,
Nocardia vermiculata,,
Nocardia veterana,,
Nocardia yamanashiensis,,
Nocardiopsis dassonvillei,"Mycetoma, cutaneous infection, pulmonary infection, conjunctivitis",
Nocardiopsis synnemataformans,"Mycetoma, cutaneous infection, pulmonary infection, conjunctivitis",
Norovirus,,
Nounane virus,,
Nova orthohantavirus,,
Ntaya virus,,
Nyando orthobunyavirus,,
O'nyong-nyong virus,,
Ochlerotatus triseriatus,La Crosse encephalitis,
Ochrobactrum anthropi,"Bacteraemia, endophthalmitis, liver abscess",
Ochrobactrum intermedium,"Bacteraemia, endophthalmitis, liver abscess",
Ochrocladosporium elatum,,
Ochroconis constricta,,
Ochroconis humicola,,
Ochroconis tshawytschae,,
Odoribacter splanchnicus,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Oerskovia turbata,"Bacteraemia, endocarditis",
Oidiodendron cerealis,,
Oligella ureolytica,"UTI, septicaemia",
Oligella urethralis,"UTI, septicaemia",
Oligoryzomys longicaudatus,hantavirus pulmonary syndrome,
Oliveros mammarenavirus,,
Olsenella uli,,
Omsk hemorrhagic fever virus,Omsk hemorrhagic fever,
Oncorhynchus mykiss,rainbow trout allergy,
Ophidiomyces ophiodiicola,,
Ophiostoma piceae,,
Orf virus,contagious pustular dermatitis,
Oriboca orthobunyavirus,,
Orientia tsutsugamushi,scrub typhus;Scrub typhus,
Ornithodoros parkeri,tick-borne relapsing fever,
Ornithodoros savignyi,Alkhurma hemorrhagic fever,
Oropouche orthobunyavirus,,
Oropouche virus,Oropouche fever,
Orthohepevirus A,,
Orthohepevirus D,,
Oryzomys palustris,hantavirus pulmonary syndrome,
Oxyporus corticola,,
Paenibacillus alvei,"Septicaemia, meningitis, pneumonia",
Paenibacillus macerans,"Septicaemia, meningitis, pneumonia",
Paenibacillus polymyxa,"Septicaemia, meningitis, pneumonia",
Paenibacillus popilliae,"Septicaemia, meningitis, pneumonia",
Paeniclostridium ghonii,"Wound infection, bacteraemia, abscesses",
Paeniclostridium sordellii,"Wound infection, bacteraemia, abscesses",
Palm Creek virus,,
Pannonibacter phragmitetus,,
Pantoea agglomerans,"Bacteraemia, endocarditis, wound infection, cellulitis, alligator-bite infection, endophthalmitis",
Pantoea ananatis,"Bacteraemia, endocarditis, wound infection, cellulitis, alligator-bite infection, endophthalmitis",
Pantoea dispersa,"Bacteraemia, endocarditis, wound infection, cellulitis, alligator-bite infection, endophthalmitis",
Papiliotrema laurentii,,
Papulaspora equi,,
Parabacteroides distasonis,Abscesses,
Parabacteroides goldsteinii,Abscesses,
Parabacteroides merdae,Abscesses,
Paraburkholderia fungorum,"Septic arthritis, bacteraemia, meningitis",
Parachlamydia acanthamoebae,Humidifier fever,
Paraclostridium bifermentans,"Wound infection, bacteraemia, abscesses",
Paracoccidioides brasiliensis,paracoccidioidomycosis,
Paracoccidioides lutzii,,
Paracoccus yeei,Bacteraemia,
Paraeggerthella hongkongensis,"Rectal abscess, bacteraemia",
Parana mammarenavirus,,
Paraphyton cookei,,
Parengyodontium album,,
Parramatta River virus,,
Parvimonas micra,,
Pasteurella aerogenes,"Wound infection, septicaemia, abscesses, pneumonia, endocarditis, meningitis",
Pasteurella bettyae,"Wound infection, septicaemia, abscesses, pneumonia, endocarditis, meningitis",
Pasteurella canis,"Wound infection, septicaemia, abscesses, pneumonia, endocarditis, meningitis",
Pasteurella dagmatis,"Wound infection, septicaemia, abscesses, pneumonia, endocarditis, meningitis",
Pasteurella multocida,pasteurellosis,
Pasteurella multocida subsp. gallicida,"Wound infection, septicaemia, abscesses, pneumonia, endocarditis, meningitis",
Pasteurella multocida subsp. multocida,"Wound infection, septicaemia, abscesses, pneumonia, endocarditis, meningitis",
Pasteurella multocida subsp. septica,"Wound infection, septicaemia, abscesses, pneumonia, endocarditis, meningitis",
Pasteurella stomatis,"Wound infection, septicaemia, abscesses, pneumonia, endocarditis, meningitis",
Pediculus humanus,louse-borne relapsing fever,
Pediculus humanus corporis,epidemic typhus;trench fever,
Pediococcus acidilactici,"Bacteraemia, abscesses, pulmonary infection",
Pediococcus damnosus,"Bacteraemia, abscesses, pulmonary infection",
Pediococcus parvulus,"Bacteraemia, abscesses, pulmonary infection",
Pediococcus pentosaceus,"Bacteraemia, abscesses, pulmonary infection",
Pegivirus C,,
Pegivirus H,,
Penaeus monodon,tiger prawn allergy,
Penicillium aurantiogriseum,,
Penicillium brevicompactum,,
Penicillium chrysogenum,,
Penicillium citrinum,,
Penicillium commune,,
Penicillium decumbens,,
Penicillium expansum,,
Penicillium griseofulvum,,
Penicillium spinulosum,,
Peptococcus niger,Abdominal sepsis,
Peptoniphilus asaccharolyticus,"Mixed anaerobic infections, abscesses",
Peptoniphilus harei,"Mixed anaerobic infections, abscesses",
Peptoniphilus indolicus,"Mixed anaerobic infections, abscesses",
Peptoniphilus ivorii,"Mixed anaerobic infections, abscesses",
Peptoniphilus lacrimalis,"Mixed anaerobic infections, abscesses",
Peptostreptococcus anaerobius,"Mixed anaerobic infections, abscesses, endocarditis",
Peptostreptococcus stomatis,"Mixed anaerobic infections, abscesses, endocarditis",
Petriella setifera,,
Phaeoacremonium alvesii,,
Phaeoacremonium amstelodamense,,
Phaeoacremonium griseorubrum,,
Phaeoacremonium inflatipes,,
Phaeoacremonium krajdenii,,
Phaeoacremonium parasiticum,,
Phaeoacremonium rubrigenum,,
Phaeoacremonium sphinctrophorum,,
Phaeoacremonium tardicrescens,,
Phaeoacremonium venezuelense,,
Phaeoannellomyces,phaeohyphomycosis,
Phaeoisaria clematidis,,
Phaeosclera dematioides,,
Phaeotrichoconis crotalariae,,
Phanerochaete chrysosporium,,
Phialemoniopsis curvata,,
Phialemoniopsis ocularis,,
Phialemonium atrogriseum,,
Phialemonium obovatum,,
Phialophora <Chaetothyriales>,phaeohyphomycosis,
Phialophora americana,,
Phialophora cyanescens,,
Phialophora verrucosa,,
Phlebotomus papatasi,Phlebotomus fever,
Phoma eupyrena,,
Phoma herbarum,,
Photobacterium damselae,"Necrotizing wound infection, bacteraemia",
Photorhabdus luminescens,"Bacteraemia, wound infection",
Pichia fermentans,,
Pichia kudriavzevii,,
Pichia norvegensis,,
Pichinde mammarenavirus,,
Piedraia hortae,,
Pirital mammarenavirus,,
Plasmodium,parasitic protozoa infectious disease;malaria,
Plasmodium falciparum,malaria;Plasmodium falciparum malaria,
Plasmodium ovale,malaria;Plasmodium ovale malaria,
Plasmodium vivax,malaria;Plasmodium vivax malaria,
Plectosphaerella cucumerina,,
Plesiomonas shigelloides,"Gastroenteritis, septicaemia, meningitis, endophthalmitis",
Pleurostoma repens,,
Pleurostoma richardsiae,,
Pluralibacter gergoviae,"Bacteraemia, respiratory tract infections, UTI",
Pneumocystis carinii,,
Pneumocystis jirovecii,pneumocystosis,
Pneumocystis murina,,
Pneumocystis oryctolagi,,
Pneumocystis wakefieldiae,,
Porphyromonas asaccharolytica,"Mixed anaerobic infections at various sites, periodontitis, human and animal bites",
Porphyromonas cangingivalis,"Mixed anaerobic infections at various sites, periodontitis, human and animal bites",
Porphyromonas canoris,"Mixed anaerobic infections at various sites, periodontitis, human and animal bites",
Porphyromonas catoniae,"Mixed anaerobic infections at various sites, periodontitis, human and animal bites",
Porphyromonas circumdentaria,"Mixed anaerobic infections at various sites, periodontitis, human and animal bites",
Porphyromonas crevioricanis,"Mixed anaerobic infections at various sites, periodontitis, human and animal bites",
Porphyromonas endodontalis,"Mixed anaerobic infections at various sites, periodontitis, human and animal bites",
Porphyromonas gingivalis,,
Porphyromonas gingivicanis,,
Porphyromonas levii,,
Porphyromonas macacae,,
Porphyromonas somerae,,
Porphyromonas uenonis,,
Powassan virus,Powassan encephalitis,
Prevotella bergensis,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella bivia,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella buccae,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella buccalis,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella corporis,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella dentalis,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella denticola,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella disiens,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella enoeca,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella intermedia,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella loescheii,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella melaninogenica,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella multiformis,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella multisaccharivorax,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella nigrescens,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella oralis,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella oris,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella oulorum,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella timonensis,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Prevotella veroralis,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Primate T-lymphotropic virus 1,,
Primate T-lymphotropic virus 2,,
Primate bocaparvovirus 1,,
Primate erythroparvovirus 1,,
Propionibacterium propionicum,actinomycosis,
Propionimicrobium lymphophilum,UTI,
Proteus mirabilis,"UTI, bacteraemia, wound infection, abscesses",
Proteus penneri,"UTI, bacteraemia, wound infection, abscesses",
Proteus vulgaris,"UTI, bacteraemia, wound infection, abscesses",
Providencia alcalifaciens,"UTI, wound infection, bacteraemia",
Providencia rettgeri,"UTI, wound infection, bacteraemia",
Providencia rustigianii,"UTI, wound infection, bacteraemia",
Providencia stuartii,"UTI, wound infection, bacteraemia",
Pseudarthrobacter oxydans,"UTI, bacteraemia, skin infection",
Pseudarthrobacter scleromae,"UTI, bacteraemia, skin infection",
Pseudeurotium ovale,,
Pseudochaetosphaeronema larense,,
Pseudocowpox virus,milker's nodule,
Pseudoflavonifractor capillosus,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Pseudoglutamicibacter albus,"UTI, bacteraemia, skin infection",
Pseudoglutamicibacter cumminsii,"UTI, bacteraemia, skin infection",
Pseudogymnoascus destructans,,
Pseudogymnoascus pannorum,,
Pseudomonas aeruginosa,"Bacteraemia, UTI, wound infection, abscesses, septic arthritis, conjunctivitis, endocarditis, meningitis, otitis",
Pseudomonas alcaligenes,"Bacteraemia, UTI, wound infection, abscesses, septic arthritis, conjunctivitis, endocarditis, meningitis, otitis",
Pseudomonas chlororaphis,"Bacteraemia, UTI, wound infection, abscesses, septic arthritis, conjunctivitis, endocarditis, meningitis, otitis",
Pseudomonas fluorescens,"Bacteraemia, UTI, wound infection, abscesses, septic arthritis, conjunctivitis, endocarditis, meningitis, otitis",
Pseudomonas luteola,"Bacteraemia, endocarditis, CAPD peritonitis",
